release time,life loan,ITEM_AMOUNT
2015-06-12,30,2000
2015-06-12,90,700
2015-06-12,90,300
2015-06-12,90,700
2015-06-12,30,500
2015-06-12,30,4000
2015-06-12,30,3000
2015-06-12,30,700
2015-06-11,30,5000
2015-06-11,90,1000
2015-06-11,30,500
2015-06-11,90,500
2015-06-11,90,1000
2015-06-11,90,300
2015-06-11,60,700
2015-06-11,30,300
2015-06-11,30,300
2015-04-21,30,700
2015-06-01,90,300
2015-05-20,30,1000
2015-04-13,30,500
2015-04-11,90,500
2015-04-10,30,700
2015-04-08,60,300
2015-04-29,60,300
2015-06-04,30,700
2015-04-01,30,500
2015-06-08,30,1000
2015-04-23,30,300
2015-04-22,30,300
2015-03-31,30,300
2015-04-03,60,300
2015-06-05,30,3000
2015-05-13,30,300
2015-05-07,30,1000
2015-05-12,30,2000
2015-04-27,30,1000
2015-04-23,90,300
2015-06-03,30,500
2015-05-18,30,3000
2015-04-10,30,300
2015-04-03,90,500
2015-04-14,30,300
2015-04-22,30,500
2015-04-10,30,300
2015-06-01,30,700
2015-05-13,30,500
2015-04-18,30,300
2015-05-13,30,300
2015-03-31,30,500
2015-04-23,30,500
2015-03-30,90,700
2015-04-20,90,1000
2015-05-18,30,700
2015-04-11,90,500
2015-04-01,30,700
2015-06-02,30,1000
2015-04-24,30,1000
2015-05-29,30,300
2015-04-13,90,2000
2015-04-16,30,500
2015-04-08,30,300
2015-04-17,30,300
2015-04-08,30,300
2015-04-22,30,300
2015-04-14,30,500
2015-05-04,60,500
2015-05-11,30,500
2015-05-22,90,500
2015-05-08,90,1000
2015-05-28,30,300
2015-04-15,30,500
2015-04-21,30,500
2015-04-14,30,300
2015-03-27,60,300
2015-04-10,90,2000
2015-04-13,30,300
2015-06-10,90,500
2015-06-04,90,300
2015-04-23,30,700
2015-04-08,90,500
2015-04-20,90,700
2015-03-27,30,300
2015-06-03,30,300
2015-04-29,30,300
2015-04-17,30,300
2015-05-26,30,300
2015-06-09,30,300
2015-06-02,30,300
2015-03-27,30,300
2015-05-18,30,300
2015-05-05,90,1000
2015-04-12,30,1000
2015-05-21,90,700
2015-04-21,30,500
2015-04-17,30,300
2015-04-14,90,500
2015-04-13,90,2000
2015-03-30,90,2000
2015-04-21,90,500
2015-04-17,90,300
2015-04-28,90,500
2015-04-09,30,300
2015-06-02,30,300
2015-05-05,90,300
2015-04-18,30,300
2015-05-27,30,300
2015-06-09,30,300
2015-05-04,30,300
2015-04-16,30,300
2015-04-25,30,700
2015-06-09,30,300
2015-04-23,90,1000
2015-06-09,30,300
2015-04-10,30,300
2015-05-21,30,3000
2015-04-08,30,300
2015-05-18,90,1000
2015-04-29,30,300
2015-05-25,90,300
2015-05-22,90,1000
2015-04-28,90,300
2015-04-07,30,300
2015-04-11,30,500
2015-05-18,30,300
2015-04-17,90,300
2015-04-20,30,300
2015-05-18,90,3000
2015-04-29,30,300
2015-05-04,90,500
2015-05-21,90,3000
2015-03-30,30,500
2015-04-02,30,300
2015-05-08,90,1000
2015-05-28,30,700
2015-04-24,30,300
2015-05-14,90,300
2015-06-10,60,500
2015-05-29,90,500
2015-05-22,90,500
2015-03-31,30,500
2015-04-09,30,300
2015-04-17,30,300
2015-06-09,60,300
2015-06-09,30,300
2015-04-22,30,300
2015-04-07,30,2000
2015-04-23,30,300
2015-05-28,30,1000
2015-04-24,30,300
2015-04-03,30,300
2015-05-13,90,300
2015-04-20,30,300
2015-05-11,60,300
2015-04-12,30,300
2015-05-19,30,300
2015-04-20,30,700
2015-05-19,90,3000
2015-06-02,30,300
2015-05-19,30,300
2015-04-14,30,300
2015-04-14,30,300
2015-04-12,90,500
2015-04-02,30,300
2015-04-27,30,500
2015-05-26,30,300
2015-03-28,30,300
2015-04-27,30,300
2015-05-05,30,300
2015-06-09,30,700
2015-04-24,90,700
2015-05-05,30,700
2015-04-10,90,300
2015-05-25,90,1000
2015-05-27,30,500
2015-04-21,30,300
2015-03-27,30,700
2015-06-08,30,300
2015-05-11,30,300
2015-04-12,30,500
2015-06-01,90,500
2015-05-06,30,1000
2015-05-28,90,500
2015-04-26,90,500
2015-04-28,30,700
2015-05-07,30,500
2015-05-25,90,500
2015-04-30,30,1000
2015-06-05,60,1000
2015-06-05,30,700
2015-04-03,30,300
2015-05-04,30,500
2015-04-24,30,500
2015-05-29,90,2000
2015-05-07,60,700
2015-04-22,30,300
2015-04-20,30,300
2015-05-13,30,300
2015-05-12,30,500
2015-05-20,30,300
2015-04-25,90,300
2015-04-29,30,300
2015-06-09,90,1000
2015-04-17,30,300
2015-05-25,30,2000
