id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD,
11072,\N,\N,\N,橱柜贷1：经营橱柜生产销售三个月　　[2296],100000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 12:19,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11073,\N,\N,\N,约 橱柜贷15：经营橱柜生产销售三个月　[2295],90000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 10:23,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11074,\N,\N,\N,约 橱柜贷14：经营橱柜生产销售三个月　[2294],90000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 10:15,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11075,\N,\N,\N,约 橱柜贷6：经营橱柜生产销售三个月　[2293],170000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 10:08,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11076,\N,\N,\N,橱柜贷2：经营橱柜生产销售15天　[2290],30000,\N,\N,15                天,28.8,\N,短期周转,\N,2015-01-09 21:05,按天到期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.1,\N
11077,\N,\N,\N,橱柜贷13：经营橱柜生产销售三个月　[2292],100000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 11:04,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11078,\N,\N,\N,约 橱柜贷10：经营橱柜生产销售三个月　[2288],56000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-09 09:42,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11079,\N,\N,\N,橱柜贷11：经营橱柜生产销售15天　[2289],30000,\N,\N,15                天,28.8,\N,短期周转,\N,2015-01-07 22:52,按天到期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.1,\N
11080,\N,\N,\N,标2：经营激光设备公司借款周转三个月　[2277],60000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-05 14:09,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11081,\N,\N,\N,约 橱柜贷7：经营橱柜生产销售三个月　[2285],36000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-04 17:49,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11082,\N,\N,\N,橱柜贷5：经营橱柜生产销售三个月　[2283],50000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-04 20:34,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11083,\N,\N,\N,橱柜贷3：经营橱柜生产销售三个月　　[2281],36000,\N,\N,3                                  个月,18,\N,生意周转,\N,2015-01-04 15:39,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11084,\N,\N,\N,橱柜贷1：经营橱柜生产销售三个月　　[2279],50000,\N,\N,3                                  个月,18,\N,生意周转,\N,2015-01-04 16:07,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11085,\N,\N,\N,橱柜贷2：经营橱柜生产销售六个月　　[2280],50000,\N,\N,6                                  个月,18,\N,生意周转,\N,2015-01-04 15:36,每月还息到期还本,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12,\N
11086,\N,\N,\N,标11：科技研发公司借款周转3个月　[2272],20000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-02 20:07,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11087,\N,\N,\N,标6：经营服饰批发借款周转3个月　[2271],20000,\N,\N,3                                  个月,18,\N,短期周转,\N,2015-01-02 19:55,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
11088,\N,\N,\N,标10：科技研发公司借款周转3个月　[2243],46000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2015-01-02 10:52,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11089,\N,\N,\N,标12：经营胶袋制品借款周转一个月　[2270],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2015-01-01 20:13,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11090,\N,\N,\N,约 标5：经营服饰批发借款周转3个月　[2258],50000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2015-01-01 13:15,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11091,\N,\N,\N,标9：科技研发公司借款周转3个月　[2242],30000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2015-01-01 22:22,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11092,\N,\N,\N,标11：经营胶袋制品借款周转一个月　[2269],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2015-01-01 13:28,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11093,\N,\N,\N,标10：经营胶袋制品借款周转一个月　[2254],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-31 22:02,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11094,\N,\N,\N,标9：经营胶袋制品借款周转一个月　[2252],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-31 13:17,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11095,\N,\N,\N,标5：经营胶袋制品借款周转一个月　[2244],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-30 18:02,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11096,\N,\N,\N,标5：经营办公设备借款周转一个月　[2238],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-30 16:04,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11097,\N,\N,\N,标8：经营胶袋制品借款周转一个月　[2237],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-30 15:10,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11098,\N,\N,\N,标8：科技研发公司借款周转3个月　[2241],30000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2015-01-01 10:42,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11099,\N,\N,\N,约 标7：科技研发公司借款周转3个月　[2239],30000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2014-12-30 10:02,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11100,\N,\N,\N,标7：经营胶袋制品借款周转一个月　[2236],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-30 10:20,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11101,\N,\N,\N,标4：经营办公设备借款周转一个月　[2234],\N,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-30 09:46,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11102,\N,\N,\N,标6：经营胶袋制品借款周转一个月　[2233],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-29 22:57,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11103,\N,\N,\N,标4：经营胶袋制品借款周转一个月　[2230],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-29 17:25,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11104,\N,\N,\N,标6：科技研发公司借款周转3个月　[2232],30000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2014-12-30 09:47,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11105,\N,\N,\N,约 标3：技研发公司借款周转3个月　[2162],40000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2014-12-29 10:14,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11106,\N,\N,\N,标3：经营办公设备借款一个月　[2228],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-29 16:21,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
11107,\N,\N,\N,约 标5：科技研发公司借款周转3个月　[2204],34000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2014-12-27 17:11,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11108,\N,\N,\N,标4：科技研发公司借款周转3个月　[2226],30000,\N,\N,3                                  个月,20.00                                 （月利率1.6667%）,\N,短期周转,\N,2014-12-29 15:02,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.2,\N
11109,\N,\N,\N,标2：经营办公设备借款一个月　[2225],30000,\N,\N,1                                  个月,18,\N,短期周转,\N,2014-12-28 13:18,按月分期还款,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.5,\N
