release time,life loan,ITEM_AMOUNT,MONEY_RATE
2015-01-26,180,300000,18
2015-02-03,90,300000,16.8
2015-03-10,270,300000,18
2015-05-27,360,500000,7
2015-05-28,180,500000,5
2014-12-04,180,300000,16.8
2014-12-08,180,200000,16.8
2014-12-09,180,300000,16.8
2014-12-11,180,300000,16.8
2014-12-13,180,300000,16.8
2014-12-14,180,200000,16.8
2014-12-18,180,200000,16.8
2014-12-20,180,200000,16.8
2014-12-22,180,200000,16.8
2014-12-24,180,300000,16.8
2014-12-26,180,300000,16.8
2014-12-27,180,300000,16.8
2014-12-30,180,300000,16.8
2014-12-31,180,300000,16.8
2015-01-02,180,300000,16.8
2015-01-05,180,300000,16.8
2015-01-08,180,300000,16.8
2015-01-12,180,300000,16.8
2015-01-14,180,300000,16.8
2015-01-15,180,200000,16.8
2015-01-17,180,200000,16.8
2015-01-19,180,200000,16.8
2015-01-23,180,300000,16.8
2015-01-26,270,300000,18
2015-01-26,270,400000,18
2015-01-27,180,300000,16.8
2015-01-29,180,300000,16.8
2015-01-31,180,300000,16.8
2015-02-01,180,300000,16.8
2015-02-06,180,300000,16.8
2015-02-10,180,300000,16.8
2015-02-12,180,300000,16.8
2015-02-15,180,300000,16.8
2015-02-22,180,500000,16.8
2015-02-28,180,300000,16.8
2015-03-01,180,300000,16.8
2015-03-02,90,300000,16.8
2015-03-02,180,300000,16.8
2015-03-03,90,300000,16.8
2015-03-04,90,300000,16.8
2015-03-05,180,200000,16.8
2015-03-05,90,300000,16.8
2015-03-06,180,200000,16.8
2015-03-06,90,300000,16.8
2015-03-07,90,300000,16.8
2015-03-09,90,300000,16.8
2015-03-10,180,300000,16.8
2015-03-10,90,300000,16.8
2015-03-12,90,300000,16.8
2015-03-15,90,300000,16.8
2015-03-15,180,300000,16.8
2015-03-17,90,300000,16.8
2015-03-18,90,300000,16.8
2015-03-20,90,300000,16.8
2015-03-21,90,300000,16.8
2015-03-21,180,300000,16.8
2015-03-24,90,300000,16.8
2015-03-25,90,300000,16.8
2015-03-26,180,300000,16.8
2015-03-27,90,300000,16.8
2015-03-28,180,300000,16.8
2015-03-28,90,300000,16.8
2015-03-29,90,300000,16.8
2015-03-30,180,300000,16.8
2015-04-01,90,300000,16.8
2015-04-03,180,300000,16.8
2015-04-04,90,300000,16.8
2015-04-07,90,300000,16.8
2015-04-09,90,300000,16.8
2015-04-10,90,300000,16.8
2015-04-11,90,300000,16.8
2015-04-11,180,300000,16.8
2015-04-13,90,300000,16.8
2015-04-14,90,300000,16.8
2015-04-15,90,300000,16.8
2015-04-16,90,300000,16.8
2015-04-17,90,300000,16.8
2015-04-18,90,300000,16.8
2015-04-20,90,300000,16.8
2015-04-21,90,300000,16.8
2015-04-22,180,300000,16.8
2015-04-22,90,300000,16.8
2015-04-23,90,300000,16.8
2015-04-24,90,300000,16.8
2015-04-25,180,300000,16.8
2015-04-25,90,300000,16.8
2015-04-26,90,300000,16.8
2015-04-27,90,300000,16.8
2015-04-28,90,300000,16.8
2015-04-29,90,300000,16.8
2015-04-30,90,300000,16.8
2015-05-01,90,300000,16.8
