release time,life loan,ITEM_AMOUNT
2015-08-25,90,1000000
2015-08-25,180,500000
2015-08-24,180,500000
2015-08-24,360,1000000
2015-08-24,90,500000
2015-08-23,180,500000
2015-08-23,360,1000000
2015-08-22,180,500000
2015-08-22,360,1000000
2015-08-21,90,500000
2015-08-21,180,500000
2015-08-21,360,1000000
2015-08-20,90,1000000
2015-08-20,180,500000
2015-08-20,360,1000000
2015-08-20,180,500000
2015-08-19,180,500000
2015-08-18,180,500000
2015-08-18,360,500000
2015-08-18,180,500000
2015-08-17,30,500000
2015-08-17,360,500000
2015-08-17,180,500000
2015-08-14,360,1000000
2015-08-14,90,500000
2015-08-13,180,500000
2015-08-13,90,500000
2015-08-13,360,1000000
2015-08-12,30,500000
2015-08-12,180,500000
2015-08-12,360,1000000
2015-08-11,180,500000
2015-08-11,360,1000000
2015-08-11,180,500000
2015-08-11,90,500000
2015-08-10,180,500000
2015-08-10,90,500000
2015-08-10,360,1000000
2015-08-09,180,500000
2015-08-08,360,1000000
2015-08-08,90,500000
2015-08-07,180,500000
2015-08-07,360,1000000
2015-08-07,90,500000
2015-08-06,180,500000
2015-08-06,360,1000000
2015-08-05,180,1000000
2015-08-05,90,500000
2015-08-04,90,500000
2015-08-04,360,1000000
2015-08-03,90,500000
2015-08-03,360,1000000
2015-08-02,180,500000
2015-07-31,90,500000
2015-07-31,360,1000000
2015-07-30,180,500000
2015-07-30,360,1000000
2015-07-29,90,500000
2015-07-28,30,500000
2015-07-28,180,500000
2015-07-28,360,1000000
2015-07-27,90,500000
2015-07-27,360,1000000
2015-07-26,90,500000
2015-07-26,180,500000
2015-07-25,360,500000
2015-07-25,180,500000
2015-07-24,90,500000
2015-07-24,360,1000000
2015-07-24,180,500000
2015-07-23,90,1000000
2015-07-23,360,1000000
2015-07-23,90,500000
2015-07-22,180,500000
2015-07-22,360,500000
2015-07-22,90,500000
2015-07-21,360,1000000
2015-07-21,180,500000
2015-07-20,360,1000000
2015-07-20,90,500000
2015-07-20,180,1000000
2015-07-19,90,500000
2015-07-18,180,500000
2015-07-18,360,1000000
2015-07-17,180,500000
2015-07-16,360,1000000
2015-07-16,180,500000
2015-07-16,360,1000000
2015-07-16,90,500000
2015-07-15,360,1000000
2015-07-15,180,500000
2015-07-15,360,1000000
2015-07-14,180,500000
2015-07-14,90,500000
2015-07-14,360,1000000
2015-07-13,180,500000
2015-07-13,90,500000
2015-07-13,360,1000000
2015-07-12,180,500000
2015-07-11,360,1000000
2015-07-11,180,500000
2015-07-10,360,1000000
2015-07-10,180,1000000
2015-07-10,90,500000
2015-07-10,360,1000000
2015-07-09,180,500000
2015-07-09,90,500000
2015-07-09,360,1000000
2015-07-09,180,500000
2015-07-08,360,1000000
2015-07-08,180,500000
2015-07-07,360,1000000
2015-07-07,90,500000
2015-07-07,180,500000
2015-07-07,360,1000000
2015-07-06,180,500000
2015-07-06,360,1000000
2015-07-06,90,500000
2015-07-05,180,500000
2015-07-05,360,1000000
2015-07-04,90,500000
2015-07-04,360,1000000
2015-07-03,360,500000
2015-07-03,360,1000000
2015-07-03,180,1000000
2015-07-02,180,1000000
2015-07-02,360,1000000
2015-07-01,90,500000
2015-07-01,360,1000000
2015-06-30,180,1000000
2015-06-30,360,1000000
2015-06-30,90,500000
2015-06-29,360,1000000
2015-06-29,180,1000000
2015-06-29,360,1000000
2015-06-28,90,500000
2015-06-28,360,1000000
2015-06-28,180,500000
2015-06-27,360,500000
2015-06-27,180,500000
2015-06-27,90,500000
2015-06-26,360,1000000
2015-06-26,180,500000
2015-06-26,90,500000
2015-06-26,360,1000000
2015-06-25,360,1000000
2015-06-25,180,500000
2015-06-24,90,500000
2015-06-24,180,1000000
2015-06-23,180,1000000
2015-06-22,360,500000
2015-06-21,180,1000000
2015-06-21,360,500000
2015-06-19,180,1000000
2015-06-19,360,500000
2015-06-18,360,500000
2015-06-18,180,1000000
2015-06-17,180,1000000
2015-06-17,360,1000000
2015-06-16,180,500000
2015-06-15,360,1000000
2015-06-15,180,1000000
2015-06-14,360,1000000
2015-06-14,180,500000
2015-06-13,360,1000000
2015-06-13,180,500000
2015-06-12,360,1000000
2015-06-11,360,1000000
2015-06-10,360,1000000
2015-06-10,360,1000000
2015-06-09,360,1000000
2015-06-08,180,500000
2015-06-07,180,500000
2015-06-07,360,1000000
2015-06-06,180,500000
2015-06-05,360,1000000
2015-06-04,90,500000
2015-06-04,360,1000000
2015-06-03,180,500000
2015-06-02,90,500000
2015-06-02,360,1000000
2015-06-01,180,500000
2015-05-31,360,1000000
2015-05-30,90,500000
2015-05-29,180,1000000
2015-05-29,360,1000000
2015-05-29,90,500000
2015-05-28,360,1000000
2015-05-28,180,1000000
2015-05-28,360,1000000
2015-05-28,90,500000
2015-05-27,180,500000
2015-05-26,360,1000000
2015-05-26,90,500000
2015-05-25,180,500000
2015-05-24,360,1000000
2015-05-23,360,1000000
2015-05-21,180,1000000
2015-05-20,360,1000000
2015-05-19,360,1000000
2015-05-19,180,500000
2015-05-18,360,1000000
2015-05-18,360,1000000
2015-05-18,180,1000000
2015-05-18,360,1000000
2015-05-18,180,1000000
2015-05-15,360,1000000
2015-05-15,180,500000
2015-05-14,360,1000000
2015-05-13,360,1000000
2015-05-13,180,1000000
