release time,life loan,ITEM_AMOUNT,MONEY_RATE
2015-05-07,30,100000,18
2015-05-06,30,50000,18
2015-05-06,30,100000,18
2015-05-05,30,100000,18
2015-05-04,30,100000,18
2015-05-04,30,100000,18
2015-05-03,30,100000,18
2015-05-03,30,100000,18
2015-05-02,30,100000,18
2015-05-01,30,100000,18
2015-04-30,30,100000,18
2015-04-30,30,50000,18
2015-04-29,30,50000,18
2015-04-29,30,100000,18
2015-04-29,30,100000,18
2015-04-29,30,50000,18
2015-04-29,30,50000,18
2015-04-28,30,100000,18
2015-04-28,30,100000,18
2015-04-28,30,50000,18
2015-04-28,30,50000,18
2015-04-27,30,50000,18
2015-04-27,60,50000,18
2015-04-27,30,100000,18
2015-04-27,30,50000,18
2015-04-26,30,100000,18
2015-04-25,30,100000,18
2015-04-25,90,50000,18
2015-04-24,10,100000,18
2015-04-24,30,50000,18
2015-04-23,10,100000,18
2015-04-23,30,50000,18
2015-04-22,60,50000,18
2015-04-22,90,50000,18
2015-04-22,10,100000,18
2015-04-22,30,50000,18
2015-04-21,60,50000,18
2015-04-21,60,50000,18
2015-04-21,60,50000,18
2015-04-21,30,50000,18
2015-04-20,30,50000,18
2015-04-20,30,100000,18
2015-04-20,30,50000,18
2015-04-19,30,50000,18
2015-04-19,30,100000,18
2015-04-19,30,50000,18
2015-04-19,60,50000,18
2015-04-19,60,100000,18
2015-04-18,30,100000,18
2015-04-17,30,50000,18
2015-04-18,60,50000,18
2015-04-17,90,50000,18
2015-04-17,30,100000,18
2015-04-16,30,50000,18
2015-04-16,10,100000,18
2015-04-16,30,50000,18
2015-04-16,30,100000,18
2015-04-16,60,50000,18
2015-04-16,90,50000,18
2015-04-15,30,200000,18
2015-04-15,30,100000,18
2015-04-14,90,100000,18
2015-04-15,10,100000,18
2015-04-14,30,50000,18
2015-04-13,10,200000,18
2015-04-13,30,100000,18
2015-04-12,30,50000,18
2015-04-12,10,100000,18
2015-04-12,30,50000,18
2015-04-11,90,100000,18
2015-04-11,60,100000,18
2015-04-11,30,100000,18
2015-04-10,90,100000,18
2015-04-10,30,100000,18
2015-04-10,30,100000,18
2015-04-09,30,50000,18
2015-04-09,30,100000,18
2015-04-08,30,50000,18
2015-04-08,30,50000,18
2015-04-08,90,100000,18
2015-04-08,30,50000,18
2015-04-07,60,50000,18
2015-04-07,60,50000,18
2015-04-07,10,200000,18
2015-04-07,30,100000,18
2015-04-06,30,100000,18
2015-04-05,90,100000,18
2015-04-05,30,50000,18
2015-04-04,90,100000,18
2015-04-04,30,50000,18
2015-04-03,30,100000,18
2015-04-03,10,200000,18
2015-04-03,90,50000,18
2015-04-03,30,100000,18
2015-04-02,90,100000,18
2015-04-02,60,50000,18
2015-04-02,30,100000,18
2015-04-01,30,100000,18
2015-04-01,30,50000,18
2015-04-01,60,100000,18
2014-12-18,30,100000,18
2014-11-18,30,50000,18
2014-08-22,60,50000,18
2014-12-01,30,50000,18
2014-10-23,30,250000,18
2014-11-23,60,50000,18
2015-03-09,30,50000,18
2014-09-02,10,200000,18
2014-08-26,30,50000,18
2014-10-29,30,100000,18
2015-03-01,30,50000,18
2014-08-14,30,100000,18
2015-01-23,60,50000,18
2015-03-15,30,50000,18
2014-09-11,30,100000,18
2015-01-21,60,50000,18
2014-12-09,90,100000,18
2015-01-07,60,50000,18
2014-09-28,30,200000,18
2014-11-11,30,150000,18
2014-11-11,60,100000,18
2014-08-25,60,200000,18
2015-02-15,30,100000,18
2015-03-09,60,50000,18
2015-01-15,60,50000,18
2015-01-15,60,100000,18
2014-07-16,10,100000,18
2014-09-22,10,500000,18
2014-11-12,30,100000,18
2014-11-15,90,100000,18
2014-10-17,30,100000,18
